# Sensor type: Respeck
# Activity type: Lying down on stomach
# Activity code: 8
# Subject id: s1956488
# Notes: 1
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1664721416112,0.059814453,-0.19342041,-0.960022,0.5625,1.109375,0.234375
1664721416208,0.052734375,-0.20025635,-0.94781494,0.53125,1.125,0.296875
1664721416210,0.060546875,-0.20025635,-0.9570923,0.859375,1.046875,0.25
1664721416234,0.059326172,-0.19146729,-0.9590454,0.859375,1.234375,0.25
1664721416266,0.061279297,-0.1951294,-0.9578247,0.734375,1.4375,0.359375
1664721416359,0.05810547,-0.19171143,-0.95928955,0.65625,1.484375,0.34375
1664721416362,0.052978516,-0.20245361,-0.9546509,0.640625,1.265625,0.28125
1664721416392,0.057128906,-0.19561768,-0.960022,0.78125,1.421875,0.109375
1664721416425,0.049560547,-0.19586182,-0.95684814,0.421875,1.234375,0.265625
1664721416531,0.061035156,-0.19976807,-0.9524536,0.703125,1.171875,0.15625
1664721416534,0.055908203,-0.190979,-0.95880127,0.71875,1.046875,0.40625
1664721416548,0.060546875,-0.19342041,-0.95513916,0.640625,1.421875,0.28125
1664721416638,0.052246094,-0.1897583,-0.96417236,0.390625,1.359375,0.265625
1664721416640,0.052001953,-0.19610596,-0.95025635,0.53125,1.296875,0.28125
1664721416672,0.05493164,-0.19415283,-0.95147705,0.703125,1.265625,0.234375
1664721416718,0.057617188,-0.18585205,-0.9534302,0.84375,1.265625,0.40625
1664721416759,0.05126953,-0.19293213,-0.9573364,0.75,1.4375,0.140625
1664721416801,0.056396484,-0.18682861,-0.956604,0.515625,1.40625,0.28125
1664721416828,0.05078125,-0.18658447,-0.954895,0.4375,1.296875,0.171875
1664721416878,0.05078125,-0.19390869,-0.9595337,0.484375,1.4375,0.21875
1664721416953,0.048828125,-0.19000244,-0.9541626,0.5625,1.3125,0.359375
1664721416957,0.051757812,-0.18511963,-0.95880127,0.5,1.296875,0.234375
1664721416986,0.047607422,-0.18634033,-0.9546509,0.5625,1.4375,0.296875
1664721417036,0.05834961,-0.18414307,-0.9524536,0.65625,1.25,0.46875
1664721417121,0.053710938,-0.1831665,-0.96173096,0.515625,1.265625,0.296875
1664721417126,0.051513672,-0.18414307,-0.9546509,0.375,1.203125,0.25
1664721417164,0.05126953,-0.18463135,-0.96588135,0.453125,1.328125,0.15625
1664721417179,0.056884766,-0.18365479,-0.954895,0.9375,1.484375,0.125
1664721417267,0.04296875,-0.18414307,-0.9570923,0.171875,1.0625,0.328125
